outer_group,variant,control,term,coefficient_standardized,term_scale,coefficient_physical,validation_rmse,alpha,threshold
cn03_1_4/island01,advective_pde,kin_time_shuffled,lap_u,0.003419243109294386,0.0007639418461511505,4.475789782325745,0.09443833158427972,0.01,0.0
cn03_1_4/island01,advective_pde,kin_time_shuffled,grad_div_u,-0.0011721415244960861,0.0005931208058959767,-1.976227292727377,0.09443833158427972,0.01,0.0
cn03_1_4/island01,advective_pde,kin_time_shuffled,advect_v_u,0.0002766429867382096,0.0025841005690182468,0.10705581278646287,0.09443833158427972,0.01,0.0
cn03_1_4/island01,advective_pde,kin_time_shuffled,advect_u_u,-0.00045923394135040114,0.003682955886281568,-0.12469167579795767,0.09443833158427972,0.01,0.0
cn03_1_4/island01,advective_pde,kin_time_shuffled,cubic_u,0.003122898261188609,0.08911944132920416,0.03504171721243999,0.09443833158427972,0.01,0.0
cn03_1_4/island01,advective_pde,kin_spatial_shifted,u_prev,-0.024145831121606762,0.11444690572756851,-0.2109784530049588,0.09475840760394914,100.0,0.03
cn03_1_4/island01,advective_pde,kin_spatial_shifted,lap_u,-0.012560044346165122,0.0007639418461511503,-16.441100077766972,0.09475840760394914,100.0,0.03
cn03_1_4/island01,advective_pde,kin_spatial_shifted,cubic_u,0.004471466679924903,0.08911944132920416,0.05017386344924963,0.09475840760394914,100.0,0.03
cn03_1_4/island01,advective_pde,kin_wrong_island,u_prev,-0.015803357972808692,0.11426232530726964,-0.13830768742287486,0.09514164135665867,100.0,0.01
cn03_1_4/island01,advective_pde,kin_wrong_island,lap_u,-0.009329314525190566,0.000757380114821581,-12.317876245520797,0.09514164135665867,100.0,0.01
cn03_1_4/island01,advective_pde,kin_wrong_island,advect_v_u,0.001029040741238604,0.0026109669153013032,0.39412247440134784,0.09514164135665867,100.0,0.01
cn03_1_4/island01,advective_pde,kin_wrong_island,advect_u_u,-0.0012864005981014905,0.0037489818981335473,-0.34313331807281666,0.09514164135665867,100.0,0.01
cn03_1_4/island01,advective_pde,kin_wrong_island,cubic_u,0.0026161388279928722,0.08983136599476162,0.029122776872227776,0.09514164135665867,100.0,0.01
cn03_1_4/island01,boundary_pde,real,u_prev,-0.031822284469727735,0.11444690572756852,-0.27805281643418195,0.08607760992090695,0.01,0.01
cn03_1_4/island01,boundary_pde,real,lap_u,0.0076314270785060945,0.0007639418461511505,9.989539278355188,0.08607760992090695,0.01,0.01
cn03_1_4/island01,boundary_pde,real,grad_div_u,0.0029835811057901287,0.0005931208058959767,5.03030929977762,0.08607760992090695,0.01,0.01
cn03_1_4/island01,boundary_pde,real,advect_v_u,-0.005729886118216652,0.0025841005690182468,-2.2173618886642457,0.08607760992090695,0.01,0.01
cn03_1_4/island01,boundary_pde,real,advect_u_u,0.0006779864055813724,0.0036829558862815676,0.18408757164503797,0.08607760992090695,0.01,0.01
cn03_1_4/island01,boundary_pde,real,cubic_u,-0.009012172583025831,0.08911944132920417,-0.10112465303429331,0.08607760992090695,0.01,0.01
cn03_1_4/island01,mechanics_source_pde,real,u_prev,-0.03618636838636876,0.11444690572756852,-0.3161847684419485,0.08591997082222853,0.1,0.0
cn03_1_4/island01,mechanics_source_pde,real,lap_u,0.009473130947669809,0.0007639418461511505,12.400329940553476,0.08591997082222853,0.1,0.0
cn03_1_4/island01,mechanics_source_pde,real,grad_div_u,0.0036287753452262277,0.0005931208058959767,6.118104961340124,0.08591997082222853,0.1,0.0
cn03_1_4/island01,mechanics_source_pde,real,traction,0.03051061721626842,92.10776893999957,0.00033124911793427014,0.08591997082222853,0.1,0.0
cn03_1_4/island01,mechanics_source_pde,real,stress_div,0.029963852919475707,16.217782476949424,0.0018475924783220997,0.08591997082222853,0.1,0.0
cn03_1_4/island01,mechanics_source_pde,real,force_balance,-0.0595784620301864,34.556992385733984,-0.0017240638700601132,0.08591997082222853,0.1,0.0
cn03_1_4/island01,mechanics_source_pde,time_shuffled,u_prev,-0.03618036249042624,0.11444690572756852,-0.3161322908681396,0.08592131578535137,1.0,0.0
cn03_1_4/island01,mechanics_source_pde,time_shuffled,lap_u,0.009472655090840505,0.0007639418461511505,12.399707043887059,0.08592131578535137,1.0,0.0
cn03_1_4/island01,mechanics_source_pde,time_shuffled,grad_div_u,0.003629382495666599,0.0005931208058959767,6.11912861526414,0.08592131578535137,1.0,0.0
cn03_1_4/island01,mechanics_source_pde,time_shuffled,traction,0.007976064468170209,92.10776893999957,8.659491549910345e-05,0.08592131578535137,1.0,0.0
